Id,Label,timeset,modularity_class,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
주기,주기,,0,1696,16472,2,0.869983,0.925276,201.536672
양,양,,0,1778,16074,2,0.902262,0.945838,245.515182
생기다,생기다,,1,1940,20430,2,0.973633,0.986459,349.253271
커지다,커지다,,2,1782,16852,2,0.903898,0.946841,257.081043
날,날,,0,1904,21174,2,0.956814,0.977432,322.056981
묻다,묻다,,0,1852,17018,2,0.933521,0.964393,284.438804
이상하다,이상하다,,1,1948,20908,2,0.977451,0.988465,353.06612
크기,크기,,2,1728,15998,2,0.882301,0.9333,237.85255
그런,그런,,0,1938,20716,2,0.972683,0.985958,350.915663
올해,올해,,0,1930,18856,2,0.968902,0.983952,360.663461
소변,소변,,1,1680,12822,2,0.863951,0.921264,199.315095
괜찮다,괜찮다,,0,1934,19304,2,0.970789,0.984955,351.127853
처럼,처럼,,2,1934,22440,2,0.970789,0.984955,355.882963
느낌,느낌,,1,1906,19536,2,0.957733,0.977934,325.659707
증상,증상,,0,1844,17136,2,0.930037,0.962387,286.441516
....,....,,0,1916,17066,2,0.962355,0.980441,340.501361
이상,이상,,2,1952,22290,2,0.979371,0.989468,372.245123
해,해,,0,1928,19412,2,0.967961,0.98345,344.300416
그때,그때,,1,1968,22210,2,0.987129,0.99348,383.572377
해주다,해주다,,1,1952,23514,2,0.979371,0.989468,368.00506
늘다,늘다,,1,1940,20460,2,0.973633,0.986459,359.983903
일,일,,0,1946,23246,2,0.976494,0.987964,356.463215
하루,하루,,0,1894,18244,2,0.952245,0.974925,322.229456
다시,다시,,0,1954,20640,2,0.980334,0.98997,369.373505
그런데,그런데,,0,1952,21494,2,0.979371,0.989468,362.793846
고추,고추,,2,1562,8874,2,0.821929,0.891675,171.026609
정액,정액,,1,1694,11778,2,0.869224,0.924774,219.957904
스트레스,스트레스,,2,1876,20782,2,0.944129,0.970411,312.120571
현재,현재,,1,1914,18178,2,0.961427,0.97994,356.389444
팬티,팬티,,0,1812,14700,2,0.91636,0.954363,278.9384
성관계,성관계,,0,1804,15150,2,0.913004,0.952357,271.683923
산부인과,산부인과,,0,1752,16862,2,0.891771,0.939318,233.292026
에요,에요,,2,1920,18136,2,0.964217,0.981444,347.34408
부탁드리다,부탁드리다,,1,1938,18442,2,0.972683,0.985958,356.456559
오줌,오줌,,1,1742,13594,2,0.887801,0.93681,226.56863
무슨,무슨,,0,1808,15786,2,0.914679,0.95336,266.271931
수술,수술,,1,1778,14640,2,0.902262,0.945838,271.792756
어떡하다,어떡하다,,2,1934,19334,2,0.970789,0.984955,356.817907
죠,죠,,0,1900,16506,2,0.954981,0.976429,326.904587
겨털,겨털,,2,1508,14760,2,0.804032,0.878134,152.128583
성장,성장,,2,1674,14428,2,0.861711,0.919759,201.327601
관계,관계,,0,1796,15424,2,0.909672,0.950351,262.534084
생리대,생리대,,0,1650,13392,2,0.852866,0.913741,187.627561
언제,언제,,2,1838,16156,2,0.927442,0.960883,285.548629
적다,적다,,0,1870,18870,2,0.941454,0.968907,299.335329
쪽,쪽,,1,1878,16496,2,0.945024,0.970913,311.205879
부모님,부모님,,1,1866,17048,2,0.93968,0.967904,310.953694
멈추다,멈추다,,2,1770,15840,2,0.899008,0.943831,248.095768
몸,몸,,0,1878,15830,2,0.945024,0.970913,305.38105
심하다,심하다,,0,1872,18214,2,0.942344,0.969408,297.598813
약간,약간,,0,1884,14876,2,0.947719,0.972417,331.740299
사정,사정,,1,1734,12120,2,0.88465,0.934804,236.565462
남학생,남학생,,2,1790,15316,2,0.907188,0.948847,275.996151
검사,검사,,1,1778,12748,2,0.902262,0.945838,250.4583
빨리,빨리,,2,1870,14628,2,0.941454,0.968907,303.527228
손,손,,1,1854,14588,2,0.934396,0.964895,302.579027
데,데,,2,1890,18894,2,0.950429,0.973922,329.414951
동안,동안,,0,1880,17208,2,0.94592,0.971414,318.128036
만지다,만지다,,1,1726,10714,2,0.881521,0.932798,242.674187
1년,1년,,0,1862,16092,2,0.937912,0.966901,309.111726
지나다,지나다,,0,1878,16604,2,0.945024,0.970913,321.777186
고민,고민,,2,1862,14046,2,0.937912,0.966901,305.259988
무섭다,무섭다,,0,1844,15288,2,0.930037,0.962387,290.959729
한지,한지,,0,1770,13398,2,0.899008,0.943831,251.630839
에도,에도,,0,1920,15942,2,0.964217,0.981444,346.138815
걸다,걸다,,0,1922,16178,2,0.96515,0.981946,344.636442
하나요,하나요,,0,1862,12920,2,0.937912,0.966901,316.711547
엔,엔,,0,1908,17222,2,0.958654,0.978435,329.878402
털다,털다,,2,1736,15698,2,0.885435,0.935306,229.221504
해보다,해보다,,1,1912,16962,2,0.960501,0.979438,331.778491
와,와,,1,1898,15732,2,0.954067,0.975928,334.401996
잘,잘,,1,1894,14274,2,0.952245,0.974925,342.604145
밖에,밖에,,2,1904,18024,2,0.956814,0.977432,326.984266
이르다,이르다,,2,1892,17134,2,0.951336,0.974423,318.041066
지,지,,2,1908,18494,2,0.958654,0.978435,336.345758
뒤,뒤,,0,1900,17212,2,0.954981,0.976429,337.552503
일주일,일주일,,0,1802,13162,2,0.912168,0.951856,267.452889
여,여,,1,1858,12142,2,0.93615,0.965898,302.744962
걸,걸,,1,1902,15930,2,0.955896,0.976931,321.403714
궁금하다,궁금하다,,2,1862,16344,2,0.937912,0.966901,310.511008
넘다,넘다,,2,1850,15980,2,0.932647,0.963892,304.633436
되어다,되어다,,1,1902,14696,2,0.955896,0.976931,333.342399
사람,사람,,1,1912,15022,2,0.960501,0.979438,342.19006
걸리다,걸리다,,1,1792,12378,2,0.908015,0.949348,270.77207
뭔가,뭔가,,1,1890,16408,2,0.950429,0.973922,326.22552
가보다,가보다,,0,1846,14750,2,0.930906,0.962889,292.692194
어제,어제,,0,1768,12186,2,0.898198,0.94333,258.554035
가끔,가끔,,0,1854,14466,2,0.934396,0.964895,287.710156
학교,학교,,1,1846,13440,2,0.930906,0.962889,296.850446
아,아,,0,1928,17978,2,0.967961,0.98345,338.508898
이런,이런,,2,1876,17176,2,0.944129,0.970411,313.927974
정상,정상,,1,1872,13536,2,0.942344,0.969408,306.668575
냄새,냄새,,0,1604,8920,2,0.836409,0.902207,170.139689
싸다,싸다,,1,1648,9996,2,0.852137,0.91324,188.436188
차,차,,2,1724,11580,2,0.880742,0.932297,222.236986
살짝,살짝,,2,1862,14446,2,0.937912,0.966901,304.820487
100,100,,1,1838,11316,2,0.927442,0.960883,295.895917
ㅠㅠㅠ,ㅠㅠㅠ,,0,1772,10768,2,0.899819,0.944333,260.421909
니까,니까,,2,1934,16262,2,0.970789,0.984955,343.880145
입다,입다,,1,1732,10096,2,0.883865,0.934303,231.264632
질염,질염,,0,1526,8768,2,0.809911,0.882648,143.508382
!,!,,0,1792,11880,2,0.908015,0.949348,260.305556
남다,남다,,2,1790,10588,2,0.907188,0.948847,281.391749
보이다,보이다,,2,1850,15610,2,0.932647,0.963892,296.5809
이렇게,이렇게,,2,1920,16740,2,0.964217,0.981444,347.471557
작년,작년,,0,1768,12448,2,0.898198,0.94333,245.316413
저번,저번,,0,1726,12424,2,0.881521,0.932798,229.311179
불규칙하다,불규칙하다,,0,1572,10596,2,0.825331,0.894183,168.19625
마다,마다,,2,1880,15740,2,0.94592,0.971414,311.514896
징,징,,2,1562,12028,2,0.821929,0.891675,160.227936
불안하다,불안하다,,0,1720,11812,2,0.879189,0.931294,218.463594
상태,상태,,1,1894,14002,2,0.952245,0.974925,343.579313
인가,인가,,1,1846,13004,2,0.930906,0.962889,297.308484
올라가다,올라가다,,2,1826,15606,2,0.922294,0.957874,284.821413
야하다,야하다,,0,1804,11270,2,0.913004,0.952357,264.666025
보통,보통,,0,1802,11920,2,0.912168,0.951856,273.975956
라고,라고,,1,1894,15580,2,0.952245,0.974925,324.125839
어느,어느,,2,1802,11870,2,0.912168,0.951856,283.769949
나이,나이,,1,1858,13438,2,0.93615,0.965898,314.032457
개월,개월,,0,1620,9312,2,0.842061,0.906219,176.349218
고요,고요,,0,1840,13954,2,0.928305,0.961384,299.033886
라,라,,0,1922,16188,2,0.96515,0.981946,350.943066
씻다,씻다,,1,1698,10074,2,0.870742,0.925777,217.507699
드리다,드리다,,1,1896,13418,2,0.953155,0.975426,340.566956
ㅜ,ㅜ,,0,1688,8244,2,0.866957,0.92327,221.082455
기,기,,1,1808,11704,2,0.914679,0.95336,269.660788
통증,통증,,1,1642,10620,2,0.849957,0.911735,201.694666
자주,자주,,1,1798,12502,2,0.910502,0.950853,271.593131
몸무게,몸무게,,2,1704,15262,2,0.87303,0.927282,212.467929
같이,같이,,1,1874,14222,2,0.943236,0.96991,308.215366
이후,이후,,0,1828,11928,2,0.923148,0.958375,282.949188
째,째,,0,1642,9046,2,0.849957,0.911735,194.22082
늦다,늦다,,0,1738,11288,2,0.886222,0.935807,234.814321
인지,인지,,1,1852,12064,2,0.933521,0.964393,317.045143
운동,운동,,2,1716,10732,2,0.877641,0.930291,227.89071
3일,3일,,0,1690,10558,2,0.867711,0.923771,213.954953
아침,아침,,2,1776,12108,2,0.901447,0.945336,251.474984
시,시,,0,1832,12874,2,0.924861,0.959378,302.768346
평소,평소,,0,1792,11284,2,0.908015,0.949348,266.086345
참고,참고,,0,1858,12584,2,0.93615,0.965898,313.837364
왼쪽,왼쪽,,1,1544,7840,2,0.815876,0.887161,163.548236
지다,지다,,1,1818,12230,2,0.918894,0.955868,288.52088
도와주다,도와주다,,1,1848,11760,2,0.931776,0.96339,299.985258
잇다,잇다,,1,1782,10438,2,0.903898,0.946841,271.490573
터지다,터지다,,0,1580,8596,2,0.828073,0.896189,174.310728
법,법,,1,1664,7974,2,0.858003,0.917252,220.200978
질,질,,0,1630,8972,2,0.845632,0.908726,180.82974
생식기,생식기,,0,1478,5854,2,0.794422,0.870612,138.923793
반,반,,1,1808,10762,2,0.914679,0.95336,278.371936
변성기,변성기,,2,1392,11242,2,0.768105,0.849047,120.909977
알,알,,1,1840,12652,2,0.928305,0.961384,288.113501
시간,시간,,1,1802,12232,2,0.912168,0.951856,282.501988
분,분,,1,1830,11814,2,0.924004,0.958877,284.382175
~,~,,0,1814,10666,2,0.917203,0.954865,291.666586
길이,길이,,2,1392,7030,2,0.768105,0.849047,114.375184
아빠,아빠,,2,1658,8822,2,0.855794,0.915747,203.056881
보,보,,2,1866,13754,2,0.93968,0.967904,319.682136
보고,보고,,1,1838,12238,2,0.927442,0.960883,279.455286
꼭,꼭,,1,1806,10656,2,0.913841,0.952859,268.266224
센티,센티,,2,1282,9168,2,0.736881,0.821464,81.686157
개,개,,2,1836,12340,2,0.92658,0.960381,287.461879
혈,혈,,0,1490,8618,2,0.798239,0.873621,131.477918
자라다,자라다,,2,1518,7972,2,0.807287,0.880642,157.482496
어리다,어리다,,1,1834,11380,2,0.92572,0.95988,293.990527
해도,해도,,1,1866,12168,2,0.93968,0.967904,319.855885
피임,피임,,0,1420,6768,2,0.77648,0.856068,122.591334
살이,살이,,2,1782,10858,2,0.903898,0.946841,266.228841
1월,1월,,0,1458,8058,2,0.788142,0.865597,129.958284
만약,만약,,1,1852,12776,2,0.933521,0.964393,301.846341
주다,주다,,1,1852,13416,2,0.933521,0.964393,289.174503
제발,제발,,1,1846,11482,2,0.930906,0.962889,306.507656
갈다,갈다,,0,1738,12252,2,0.886222,0.935807,232.425839
화장실,화장실,,0,1716,10154,2,0.877641,0.930291,215.563025
얼마,얼마,,0,1786,9964,2,0.90554,0.947844,272.350149
15,15,,2,1704,10122,2,0.87303,0.927282,228.816444
10,10,,2,1704,13540,2,0.87303,0.927282,219.306341
빼다,빼다,,0,1810,10470,2,0.915519,0.953862,272.481639
어,어,,1,1660,8338,2,0.856529,0.916249,213.469067
글,글,,2,1764,13404,2,0.896583,0.942327,233.676663
거기,거기,,2,1752,10036,2,0.891771,0.939318,246.304623
닦다,닦다,,0,1566,7844,2,0.823287,0.892678,166.664231
2년,2년,,2,1648,10270,2,0.852137,0.91324,199.175442
병,병,,0,1650,8916,2,0.852866,0.913741,192.694775
쓰다,쓰다,,0,1860,12428,2,0.93703,0.966399,299.321041
간지럽다,간지럽다,,0,1468,5990,2,0.79127,0.868104,130.923773
야동,야동,,1,1378,7362,2,0.763985,0.845537,114.605621
올리다,올리다,,2,1762,11190,2,0.895777,0.941825,247.952842
아무,아무,,1,1748,11176,2,0.890179,0.938315,233.108456
저희,저희,,1,1774,10622,2,0.900632,0.944835,261.150891
그렇게,그렇게,,2,1810,13658,2,0.915519,0.953862,267.657484
이라,이라,,1,1858,11908,2,0.93615,0.965898,297.350744
자연,자연,,1,1478,6234,2,0.794422,0.870612,137.579786
중학교,중학교,,1,1814,10266,2,0.917203,0.954865,276.830411
초등학교,초등학교,,1,1708,10422,2,0.874561,0.928285,216.054428
센치,센치,,2,1378,5994,2,0.763985,0.845537,114.745733
집,집,,1,1820,11052,2,0.919742,0.956369,279.60148
아랫,아랫,,0,1594,8208,2,0.832916,0.899699,166.698349
치다,치다,,1,1726,8492,2,0.881521,0.932798,232.664479
바로,바로,,1,1704,10744,2,0.87303,0.927282,222.423518
넣다,넣다,,0,1614,8130,2,0.839933,0.904714,186.298281
건지다,건지다,,2,1738,9498,2,0.886222,0.935807,234.646288
들어가다,들어가다,,1,1744,9090,2,0.888592,0.937312,247.82674
매일,매일,,2,1764,10306,2,0.896583,0.942327,243.692405
일어나다,일어나다,,1,1796,10834,2,0.909672,0.950351,267.263064
저만,저만,,2,1610,11106,2,0.83852,0.903711,176.100568
빠르다,빠르다,,0,1680,8380,2,0.863951,0.921264,206.173775
기다,기다,,0,1814,11266,2,0.917203,0.954865,270.024735
하나,하나,,2,1798,10344,2,0.910502,0.950853,266.850286
마지막,마지막,,0,1734,9412,2,0.88465,0.934804,230.625511
건,건,,0,1778,9202,2,0.902262,0.945838,247.819921
자꾸,자꾸,,1,1764,9292,2,0.896583,0.942327,243.961014
밑,밑,,1,1688,8916,2,0.866957,0.92327,223.303312
나서다,나서다,,2,1836,13226,2,0.92658,0.960381,284.797719
나중,나중,,1,1762,9560,2,0.895777,0.941825,263.304423
서다,서다,,1,1676,9782,2,0.862457,0.920261,204.999154
8월,8월,,0,1414,6554,2,0.77467,0.854564,121.010026
컵,컵,,0,1384,4710,2,0.765745,0.847041,124.88054
규칙,규칙,,0,1396,7774,2,0.76929,0.85005,113.4895
물어보다,물어보다,,1,1780,9404,2,0.90308,0.946339,258.064825
불규칙,불규칙,,0,1414,7264,2,0.77467,0.854564,118.294172
이유,이유,,0,1708,8748,2,0.874561,0.928285,214.497617
가능성,가능성,,0,1686,8524,2,0.866203,0.922768,213.196122
사진,사진,,2,1602,8194,2,0.835708,0.901705,179.62905
주변,주변,,2,1744,9684,2,0.888592,0.937312,233.639523
치료,치료,,1,1528,7428,2,0.810569,0.883149,151.312115
말다,말다,,2,1788,10238,2,0.906364,0.948345,251.189703
편,편,,2,1642,7348,2,0.849957,0.911735,200.715566
고추가,고추가,,2,1226,4746,2,0.721941,0.807422,87.109495
2일,2일,,0,1468,7308,2,0.79127,0.868104,139.886592
색,색,,0,1564,7824,2,0.822607,0.892177,171.253846
곳,곳,,1,1726,9104,2,0.881521,0.932798,230.46462
오른쪽,오른쪽,,1,1442,5712,2,0.783189,0.861585,133.523701
자궁,자궁,,0,1386,5820,2,0.766334,0.847543,109.837583
따갑다,따갑다,,1,1328,5744,2,0.749624,0.832999,101.407682
작,작,,2,1662,10146,2,0.857266,0.91675,210.461709
끝,끝,,1,1734,8234,2,0.88465,0.934804,233.647533
없이,없이,,0,1748,9106,2,0.890179,0.938315,242.628114
심각하다,심각하다,,1,1786,10302,2,0.90554,0.947844,255.17276
안좋다,안좋다,,2,1776,9894,2,0.901447,0.945336,252.878248
살다,살다,,1,1778,9948,2,0.902262,0.945838,256.80676
정확하다,정확하다,,0,1712,8394,2,0.876098,0.929288,223.452719
경우,경우,,1,1744,10352,2,0.888592,0.937312,251.634267
안나,안나,,1,1702,8968,2,0.872266,0.92678,211.996422
항상,항상,,1,1698,9330,2,0.870742,0.925777,218.049836
12월,12월,,0,1450,6928,2,0.785658,0.863591,123.570818
조금씩,조금씩,,0,1672,8508,2,0.860967,0.919258,204.665621
예정일,예정일,,0,1294,6350,2,0.740163,0.824473,85.652719
신고,신고,,1,1604,7718,2,0.836409,0.902207,167.670704
햇,햇,,1,1628,7790,2,0.844915,0.908225,202.073493
해봤다,해봤다,,2,1740,10328,2,0.887011,0.936309,234.553981
8,8,,2,1702,10776,2,0.872266,0.92678,229.666879
땐,땐,,0,1704,9006,2,0.87303,0.927282,226.1817
남친,남친,,2,1462,8276,2,0.78939,0.8666,117.265152
딱,딱,,0,1696,8106,2,0.869983,0.925276,214.282245
20,20,,2,1742,10382,2,0.887801,0.93681,236.747028
간,간,,1,1754,10054,2,0.892569,0.939819,245.778798
물,물,,1,1666,8890,2,0.858742,0.917753,201.34343
관련,관련,,1,1702,7334,2,0.872266,0.92678,218.306666
14,14,,2,1512,6754,2,0.805331,0.879137,151.170347
최근,최근,,0,1744,8900,2,0.888592,0.937312,226.056195
이라고,이라고,,2,1748,11270,2,0.890179,0.938315,234.470315
편이,편이,,0,1748,9270,2,0.890179,0.938315,253.8459
사실,사실,,1,1766,9026,2,0.89739,0.942828,245.373362
콘돔,콘돔,,0,1212,5406,2,0.7183,0.803912,80.964792
속옷,속옷,,0,1556,7256,2,0.819901,0.890171,156.952678
그게,그게,,1,1714,8530,2,0.876869,0.929789,223.751035
의사,의사,,1,1688,8570,2,0.866957,0.92327,222.649698
가능하다,가능하다,,1,1688,7582,2,0.866957,0.92327,225.759257
써다,써다,,0,1684,8794,2,0.865451,0.922267,216.889231
아주,아주,,0,1716,8642,2,0.877641,0.930291,218.79895
니,니,,1,1744,9082,2,0.888592,0.937312,256.18561
다리,다리,,2,1610,7458,2,0.83852,0.903711,186.444126
힘들다,힘들다,,2,1680,8964,2,0.863951,0.921264,201.623625
7,7,,2,1702,10284,2,0.872266,0.92678,232.111261
(?),(?),,1,1716,7970,2,0.877641,0.930291,222.316095
다음,다음,,0,1624,8014,2,0.843486,0.907222,203.453238
싫다,싫다,,1,1724,7786,2,0.880742,0.932297,242.539871
다니다,다니다,,1,1710,8398,2,0.875329,0.928786,223.371802
남,남,,2,1572,6760,2,0.825331,0.894183,176.062713
160,160,,2,1196,5886,2,0.714183,0.7999,78.287154
대해,대해,,1,1598,6350,2,0.83431,0.900702,189.466638
일단,일단,,1,1768,10324,2,0.898198,0.94333,250.051319
5일,5일,,0,1382,6486,2,0.765157,0.84654,103.718121
유두,유두,,0,1092,3040,2,0.688536,0.773821,55.094118
3월,3월,,0,1444,6630,2,0.783805,0.862086,129.831713
평균,평균,,2,1418,6450,2,0.775875,0.855567,120.034916
사용,사용,,0,1428,5278,2,0.778906,0.858074,133.22958
선생님,선생님,,1,1538,7066,2,0.813878,0.885657,155.296524
달다,달다,,1,1714,8372,2,0.876869,0.929789,228.708062
예전,예전,,1,1676,7702,2,0.862457,0.920261,217.075208
첫,첫,,0,1542,7236,2,0.815209,0.88666,164.096486
겨드랑이,겨드랑이,,2,1358,5610,2,0.758175,0.840522,111.040249
굵다,굵다,,2,1208,7104,2,0.717266,0.802909,63.807525
주사,주사,,1,1372,5426,2,0.762232,0.844032,116.467294
난,난,,2,1678,9560,2,0.863203,0.920762,208.879254
",,",",,",,0,1372,4566,2,0.762232,0.844032,121.72575
아예,아예,,0,1608,7624,2,0.837815,0.90321,197.786173
거들다,거들다,,0,1594,6544,2,0.832916,0.899699,185.726446
미치다,미치다,,1,1702,8744,2,0.872266,0.92678,212.631613
까지는,까지는,,1,1610,7252,2,0.83852,0.903711,186.017608
요도,요도,,1,1230,4096,2,0.722988,0.808425,76.994573
가야,가야,,0,1512,6510,2,0.805331,0.879137,149.402214
중학생,중학생,,0,1550,5588,2,0.817884,0.888666,162.339181
가지,가지,,2,1712,9830,2,0.876098,0.929288,228.919687
13,13,,2,1352,7690,2,0.756449,0.839017,102.152132
그것,그것,,1,1684,8278,2,0.865451,0.922267,208.215505
자위행위,자위행위,,1,1390,5636,2,0.767513,0.848546,113.735483
느끼다,느끼다,,1,1624,7464,2,0.843486,0.907222,183.044391
다르다,다르다,,1,1672,7598,2,0.860967,0.919258,208.610734
???,???,,0,1426,5066,2,0.778298,0.857573,135.152077
기도,기도,,2,1676,8240,2,0.862457,0.920261,213.460309
탐폰,탐폰,,0,1096,3218,2,0.689488,0.774824,54.907875
얼마나,얼마나,,2,1522,6884,2,0.808597,0.881645,166.871667
샤워,샤워,,1,1570,6380,2,0.824648,0.893681,178.541227
아이,아이,,1,1206,3750,2,0.716751,0.802407,72.352923
kg,kg,,2,1386,5498,2,0.766334,0.847543,110.292422
불편하다,불편하다,,1,1554,6432,2,0.819228,0.889669,158.347881
곧,곧,,0,1620,6780,2,0.842061,0.906219,194.501798
붙다,붙다,,2,1488,8584,2,0.7976,0.873119,139.797397
170,170,,2,1386,9056,2,0.766334,0.847543,120.073632
아직도,아직도,,0,1592,7098,2,0.83222,0.899198,193.329825
별로,별로,,0,1558,6472,2,0.820576,0.890672,177.620871
덩어리,덩어리,,0,1294,5172,2,0.740163,0.824473,88.862564
감사하다,감사하다,,1,1672,8428,2,0.860967,0.919258,204.689961
자,자,,2,1582,6304,2,0.828761,0.89669,167.996042
2월,2월,,0,1408,5568,2,0.772868,0.853059,126.306729
앞,앞,,2,1646,8104,2,0.851409,0.912738,208.225516
음모,음모,,2,1378,5428,2,0.763985,0.845537,112.437546
그거,그거,,0,1600,6340,2,0.835008,0.901204,190.927861
적도,적도,,0,1514,6894,2,0.805982,0.879639,141.529232
앉다,앉다,,1,1588,6704,2,0.830833,0.898195,177.492699
염,염,,1,1312,4726,2,0.745142,0.828987,89.867162
비슷하다,비슷하다,,2,1674,8814,2,0.861711,0.919759,195.341339
4일,4일,,0,1416,6244,2,0.775272,0.855065,122.250734
점,점,,2,1464,7302,2,0.790016,0.867101,135.21803
분비물,분비물,,0,1376,5158,2,0.7634,0.845035,105.993805
양도,양도,,0,1454,6576,2,0.786898,0.864594,120.623549
사이,사이,,1,1620,6778,2,0.842061,0.906219,178.411163
아버지,아버지,,2,1376,7604,2,0.7634,0.845035,113.456717
6월,6월,,0,1368,5150,2,0.761069,0.843029,110.3648
그래도,그래도,,0,1776,8462,2,0.901447,0.945336,249.057767
만에,만에,,0,1446,6516,2,0.784422,0.862588,132.101623
!!,!!,,0,1520,6058,2,0.807942,0.881143,150.594822
차다,차다,,0,1588,7068,2,0.830833,0.898195,169.401353
버리다,버리다,,1,1644,6574,2,0.850683,0.912237,206.550723
여서,여서,,2,1708,7928,2,0.874561,0.928285,219.818003
부끄럽다,부끄럽다,,1,1590,6834,2,0.831526,0.898696,183.967055
귀,귀,,1,1320,5356,2,0.747376,0.830993,104.255987
구,구,,1,1680,6830,2,0.863951,0.921264,215.8412
께,께,,1,1618,7316,2,0.84135,0.905717,198.969912
...?,...?,,0,1482,5604,2,0.79569,0.871615,144.141811
전혀,전혀,,1,1630,6838,2,0.845632,0.908726,208.705808
빨갛다,빨갛다,,0,1310,4442,2,0.744586,0.828485,97.266211
이면,이면,,0,1620,6560,2,0.842061,0.906219,188.766404
세,세,,0,1514,5862,2,0.805982,0.879639,146.56755
저가,저가,,1,1446,4198,2,0.784422,0.862588,140.616734
7월,7월,,0,1338,5302,2,0.752453,0.835507,104.264633
위,위,,1,1604,6496,2,0.836409,0.902207,176.954862
여기,여기,,2,1632,9500,2,0.84635,0.909228,191.902247
ㅈㅇ,ㅈㅇ,,1,1042,2460,2,0.67685,0.761284,52.760516
하지만,하지만,,1,1646,7220,2,0.851409,0.912738,189.305082
165,165,,2,1142,5264,2,0.700632,0.786359,70.629774
남자친구,남자친구,,0,1248,4494,2,0.727737,0.812939,79.200248
뭔,뭔,,1,1550,6224,2,0.817884,0.888666,168.860212
키도,키도,,2,1442,6956,2,0.783189,0.861585,135.776766
일이,일이,,0,1580,7036,2,0.828073,0.896189,164.999365
ㅠㅠㅠㅠ,ㅠㅠㅠㅠ,,0,1452,5392,2,0.786278,0.864092,132.496331
기간,기간,,0,1342,5160,2,0.75359,0.83651,101.904108
에게,에게,,1,1554,6566,2,0.819228,0.889669,155.080686
바지,바지,,1,1436,5374,2,0.781348,0.86008,130.341773
시기,시기,,2,1600,6486,2,0.835008,0.901204,183.09477
여자친구,여자친구,,2,1166,4106,2,0.706591,0.792377,66.112912
