Id,Label,timeset,modularity_class,Weighted Degree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
당연하다,당연하다,,0,1562,494,2,0.780045,0.859012,23.196288
하얀색,하얀색,,1,1354,438,2,0.733475,0.818314,15.548228
ㅜㅜㅜ,ㅜㅜㅜ,,1,1290,430,2,0.727273,0.8125,12.211787
끼,끼,,0,1868,532,2,0.815166,0.886628,32.366757
언,언,,0,1574,472,2,0.761062,0.843023,18.79053
어쩌,어쩌,,1,1732,496,2,0.781818,0.860465,22.387766
펴다,펴다,,0,1868,482,2,0.769575,0.850291,20.715934
별,별,,0,1826,494,2,0.780045,0.859012,22.708025
라도,라도,,0,1342,444,2,0.738197,0.822674,17.010787
배란,배란,,0,1352,418,2,0.718163,0.803779,16.129138
딱하다,딱하다,,1,1562,492,2,0.778281,0.857558,24.587639
에만,에만,,1,1416,488,2,0.774775,0.854651,21.624243
ㅇ,ㅇ,,1,964,392,2,0.699187,0.784884,11.698337
흐르다,흐르다,,0,1688,492,2,0.778281,0.857558,22.040887
건강,건강,,0,1284,444,2,0.738197,0.822674,17.294767
물질,물질,,1,774,326,2,0.655238,0.736919,7.304411
..??,..??,,0,1062,390,2,0.697769,0.78343,10.717782
심해,심해,,0,1260,426,2,0.724211,0.809593,15.804899
늦어지다,늦어지다,,0,1108,408,2,0.710744,0.796512,11.175851
1시간,1시간,,1,1602,468,2,0.757709,0.840116,21.520566
초기,초기,,0,1756,490,2,0.776524,0.856105,23.513136
워,워,,1,1084,378,2,0.689379,0.774709,11.527805
찢어지다,찢어지다,,1,754,340,2,0.664093,0.747093,7.371739
벌써,벌써,,0,1416,436,2,0.731915,0.81686,15.617056
음식,음식,,0,1304,458,2,0.749455,0.832849,16.659873
중이,중이,,0,950,432,2,0.728814,0.813953,16.080175
마르다,마르다,,1,1238,380,2,0.690763,0.776163,10.82413
똥,똥,,1,1136,396,2,0.702041,0.787791,11.917887
6일,6일,,0,1930,498,2,0.783599,0.861919,23.270324
자궁경부암,자궁경부암,,0,542,276,2,0.625455,0.700581,2.985957
여름방학,여름방학,,0,1262,414,2,0.715177,0.800872,14.825743
근,근,,0,1106,376,2,0.688,0.773256,7.66663
언니,언니,,1,1060,362,2,0.678501,0.763081,8.395215
용,용,,0,1194,440,2,0.735043,0.819767,13.758962
2019년,2019년,,0,1232,406,2,0.709278,0.795058,11.911889
20일,20일,,0,1324,424,2,0.722689,0.80814,14.067219
오,오,,1,1210,424,2,0.722689,0.80814,15.811811
든,든,,0,1352,456,2,0.747826,0.831395,17.946201
돌아오다,돌아오다,,0,1178,412,2,0.713693,0.799419,13.64269
다가,다가,,1,1406,452,2,0.744589,0.828488,15.832683
ㅠㅠㅠㅠㅠ,ㅠㅠㅠㅠㅠ,,1,1038,390,2,0.697769,0.78343,13.063078
본적,본적,,1,1340,482,2,0.769575,0.850291,21.198285
년도,년도,,0,1362,410,2,0.712215,0.797965,12.032884
착용,착용,,1,1286,438,2,0.733475,0.818314,14.042487
테스트,테스트,,0,1252,374,2,0.686627,0.771802,9.438043
줄어들다,줄어들다,,0,1566,456,2,0.747826,0.831395,17.194135
만큼,만큼,,0,1248,414,2,0.715177,0.800872,11.95574
지속,지속,,0,1282,452,2,0.744589,0.828488,17.237029
절대,절대,,1,1358,456,2,0.747826,0.831395,17.534114
끈,끈,,1,1098,388,2,0.696356,0.781977,10.716782
이기다,이기다,,0,1144,406,2,0.709278,0.795058,12.771255
넘기다,넘기다,,0,1496,512,2,0.796296,0.872093,27.093155
30,30,,1,822,348,2,0.669261,0.752907,7.773427
덜,덜,,0,1160,420,2,0.719665,0.805233,14.836723
8일,8일,,0,1396,492,2,0.778281,0.857558,23.523041
여중생,여중생,,1,1112,430,2,0.727273,0.8125,15.408768
증후군,증후군,,0,940,392,2,0.699187,0.784884,13.712194
출혈,출혈,,0,1518,452,2,0.744589,0.828488,18.305894
오버,오버,,0,1478,398,2,0.703476,0.789244,8.957467
달이,달이,,0,1018,394,2,0.700611,0.786337,10.513171
대요,대요,,0,1358,440,2,0.735043,0.819767,16.083017
3~4,3~4,,0,984,418,2,0.718163,0.803779,13.875888
요새,요새,,0,1340,440,2,0.735043,0.819767,13.895119
나타나다,나타나다,,1,1018,406,2,0.709278,0.795058,13.100424
그날,그날,,0,1306,442,2,0.736617,0.821221,15.652868
방금,방금,,1,1196,422,2,0.721174,0.806686,16.080212
사후,사후,,0,912,320,2,0.651515,0.732558,5.431472
런가,런가,,0,1234,440,2,0.735043,0.819767,13.958333
액,액,,1,848,374,2,0.686627,0.771802,10.331068
나요,나요,,1,924,370,2,0.683897,0.768895,8.097534
한두,한두,,0,1162,360,2,0.677165,0.761628,6.200112
고등학생,고등학생,,0,1126,396,2,0.702041,0.787791,11.882121
움직이다,움직이다,,1,1100,348,2,0.669261,0.752907,7.769391
주전,주전,,1,1188,434,2,0.730361,0.815407,15.50978
여행,여행,,0,772,332,2,0.659004,0.741279,6.448921
꾸준하다,꾸준하다,,0,1226,386,2,0.694949,0.780523,9.026529
빨간색,빨간색,,1,968,340,2,0.664093,0.747093,7.42208
붉다,붉다,,1,1134,410,2,0.712215,0.797965,13.785491
쓸다,쓸다,,0,1146,430,2,0.727273,0.8125,13.69322
18일,18일,,0,1066,378,2,0.689379,0.774709,9.948229
9일,9일,,0,1394,438,2,0.733475,0.818314,14.699401
Q,Q,,1,484,200,2,0.585034,0.645349,1.022092
나이트,나이트,,0,1454,398,2,0.703476,0.789244,9.497775
날짜,날짜,,0,1212,418,2,0.718163,0.803779,12.569998
건너,건너,,0,1574,430,2,0.727273,0.8125,13.934669
끝내다,끝내다,,0,944,378,2,0.689379,0.774709,11.269856
토요일,토요일,,0,976,378,2,0.689379,0.774709,9.685468
찝찝하다,찝찝하다,,1,1280,428,2,0.725738,0.811047,16.709493
겠다,겠다,,0,1150,418,2,0.718163,0.803779,11.414645
차고,차고,,1,1436,442,2,0.736617,0.821221,14.284615
워터파크,워터파크,,0,760,318,2,0.650284,0.731105,5.925041
주기도,주기도,,0,1518,454,2,0.746204,0.829942,17.693982
일전,일전,,1,994,382,2,0.692153,0.777616,11.300943
젖다,젖다,,1,1114,384,2,0.693548,0.77907,12.305419
여성,여성,,1,834,392,2,0.699187,0.784884,14.470335
입구,입구,,1,820,368,2,0.68254,0.767442,9.550283
